Item_Number,District,Location,Disposition,Signal_Type,Signal_Description,Occurred_Date_Time,Charge_Code,Charge_Description,Offender_Race,Offender_Gender,Offender_Age,Offender_Number,Person_Type,Victim_Race,Victim_Gender,Victim_Age,Victim_Number,Victim_Fatal_Status,Hate_Crime,Report_Type
A-00970-19,1,927 N ROMAN ST,OPEN,56,SIMPLE CRIMINAL DAMAGE,1/1/2019 15:00,NULL,NULL,UNKNOWN,NULL,NULL,1,INTERVIEW,BLACK,MALE,68,1,Non-fatal,,Incident Report
A-00982-18,5,3903  MARAIS ST,OPEN,65,SIMPLE ROBBERY,1/1/2019 17:00,14 35,SIMPLE BATTERY,BLACK,FEMALE,NULL,1,VICTIM,BLACK,MALE,62,1,Non-fatal,,Incident Report
A-00982-18,5,3903  MARAIS ST,OPEN,65,SIMPLE ROBBERY,1/1/2019 17:00,NULL,NULL,BLACK,FEMALE,NULL,1,REPORTING PERSON,WHITE,MALE,33,1,Non-fatal,,Incident Report
A-00982-18,5,3903  MARAIS ST,OPEN,65,SIMPLE ROBBERY,1/1/2019 17:00,14 65,SIMPLE ROBBERY,BLACK,FEMALE,NULL,1,VICTIM,BLACK,MALE,62,1,Non-fatal,,Incident Report
A-00982-19,5,3903  MARAIS ST,OPEN,65,SIMPLE ROBBERY,1/1/2019 17:00,14 65,SIMPLE ROBBERY,BLACK,FEMALE,NULL,1,VICTIM,BLACK,MALE,62,1,Non-fatal,,Incident Report
A-00982-19,5,3903  MARAIS ST,OPEN,65,SIMPLE ROBBERY,1/1/2019 17:00,NULL,NULL,BLACK,FEMALE,NULL,1,REPORTING PERSON,WHITE,MALE,33,1,Non-fatal,,Incident Report
A-00994-20,8,641 BOURBON ST,OPEN,67P,PICKPOCKET,12/31/2019 11:35,NULL,NULL,NULL,NULL,NULL,1,VICTIM,WHITE,FEMALE,26,1,Non-fatal,,Incident Report
A-00999-19,5,2400 N TONTI ST,CLOSED,56D,SIMPLE CRIMINAL DAMAGE (DOMESTIC),1/1/2019 17:10,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,BLACK,MALE,18,1,VICTIM,BLACK,FEMALE,40,1,Non-fatal,,Incident Report
A-01000-19,6,3711 SAINT CHARLES AV,CLOSED,63,TRESPASSING,1/1/2019 17:15,NULL,NULL,BLACK,MALE,30,2,REPORTING PERSON,WHITE,MALE,61,2,Non-fatal,,Incident Report
A-01000-19,6,3711 SAINT CHARLES AV,CLOSED,63,TRESPASSING,1/1/2019 17:15,NULL,NULL,BLACK,MALE,40,1,INTERVIEW,WHITE,FEMALE,52,3,Non-fatal,,Incident Report
A-01000-19,6,3711 SAINT CHARLES AV,CLOSED,63,TRESPASSING,1/1/2019 17:15,14 62.3,UNAUTHORIZED ENTRY (INHAB.DWELLING),BLACK,MALE,30,2,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-01000-19,6,3711 SAINT CHARLES AV,CLOSED,63,TRESPASSING,1/1/2019 17:15,NULL,NULL,BLACK,MALE,40,1,REPORTING PERSON,WHITE,MALE,61,2,Non-fatal,,Incident Report
A-01000-19,6,3711 SAINT CHARLES AV,CLOSED,63,TRESPASSING,1/1/2019 17:15,NULL,NULL,BLACK,MALE,30,2,INTERVIEW,WHITE,FEMALE,52,3,Non-fatal,,Incident Report
A-01000-19,6,3711 SAINT CHARLES AV,CLOSED,63,TRESPASSING,1/1/2019 17:15,14 62.3,UNAUTHORIZED ENTRY (INHAB.DWELLING),BLACK,MALE,40,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-01006-19,8,CAMP ST & GRAVIER ST,OPEN,21,MISCELLANEOUS INCIDENT,1/1/2019 17:19,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,WHITE,MALE,43,1,Non-fatal,,Incident Report
A-01008-19,6,2100 CLIO ST,CLOSED,966,DRUG LAW VIOLATION,1/1/2019 17:10,NULL,NULL,WHITE,MALE,47,2,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-01008-19,6,2100 CLIO ST,CLOSED,966,DRUG LAW VIOLATION,1/1/2019 17:10,NULL,NULL,BLACK,MALE,52,1,VICTIM,NULL,NULL,NULL,2,Non-fatal,,Incident Report
A-01008-19,6,2100 CLIO ST,CLOSED,966,DRUG LAW VIOLATION,1/1/2019 17:10,102 113,DRUG PARAPHERNALIA,WHITE,MALE,47,2,VICTIM,NULL,NULL,NULL,2,Non-fatal,,Incident Report
A-01008-19,6,2100 CLIO ST,CLOSED,966,DRUG LAW VIOLATION,1/1/2019 17:10,40 967,PROHIBITED ACTS-- SCHEDULE II DRUGS,BLACK,MALE,52,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-01008-19,6,2100 CLIO ST,CLOSED,966,DRUG LAW VIOLATION,1/1/2019 17:10,40 1023,PROHIBITED ACTS - DRUG PARAPHENALIA,BLACK,MALE,52,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-01008-19,6,2100 CLIO ST,CLOSED,966,DRUG LAW VIOLATION,1/1/2019 17:10,54 341,ILLEGAL CARRYING OF WEAPONS,WHITE,MALE,47,2,VICTIM,NULL,NULL,NULL,2,Non-fatal,,Incident Report
A-01012-19,8,701 BARONNE ST,CLOSED,67S,SHOPLIFTING,1/1/2019 17:30,54 186,THEFT,BLACK,MALE,67,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-01012-19,8,701 BARONNE ST,CLOSED,67S,SHOPLIFTING,1/1/2019 17:30,NULL,NULL,BLACK,MALE,67,1,REPORTING PERSON,BLACK,MALE,45,1,Non-fatal,,Incident Report
A-01012-19,8,701 BARONNE ST,CLOSED,67S,SHOPLIFTING,1/1/2019 17:30,54 188,POSSESSION OF STOLEN PROPERTY,BLACK,MALE,67,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-01015-19,7,4652 EASTVIEW DR,OPEN,94,ILLEGAL USE OF WEAPONS,1/1/2019 17:58,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,NULL,NULL,NULL,1,Non-fatal,,Supplemental Report
A-01016-19,3,5100 CHAMBERLAIN DR,OPEN,62C,SIMPLE BURGLARY (VEHICLE),1/1/2019 6:30,NULL,NULL,NULL,NULL,NULL,NULL,VICTIM,BLACK,MALE,24,1,Non-fatal,,Supplemental Report
A-01017-19,6,1667 TCHOUPITOULAS ST,CLOSED,37,AGGRAVATED ASSAULT,1/1/2019 15:12,14 37,AGG. ASSAULT,WHITE,MALE,32,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Supplemental Report
A-01025-19,6,WASHINGTON AV & COLISEUM ST,OPEN,21,MISCELLANEOUS INCIDENT,1/1/2019 10:00,NULL,NULL,NULL,NULL,NULL,NULL,VICTIM,WHITE,MALE,22,1,Non-fatal,,Incident Report
A-01025-19,6,WASHINGTON AV & COLISEUM ST,OPEN,21,MISCELLANEOUS INCIDENT,1/1/2019 10:00,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,WHITE,MALE,NULL,2,Non-fatal,,Incident Report
A-01027-19,4,2600 MERCEDES BD,OPEN,56,SIMPLE CRIMINAL DAMAGE,1/1/2019 14:30,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,NULL,NULL,NULL,1,VICTIM,WHITE,MALE,86,1,Non-fatal,,Incident Report
A-01028-19,5,3106  DAUPHINE ST,OPEN,66D,THREATS (DOMESTIC),1/1/2019 17:33,14 66,EXTORTION,WHITE,MALE,32,1,VICTIM,WHITE,MALE,65,1,Non-fatal,,Incident Report
A-01029-20,8,DECATUR & SAINT PHILIP,OPEN,67P,PICKPOCKET,12/31/2019 23:45,NULL,NULL,BLACK,FEMALE,NULL,1,REPORTING PERSON,WHITE,MALE,72,1,Non-fatal,,Incident Report
A-01035-19,4,1329 BEHRMAN AV,OPEN,21,MISCELLANEOUS INCIDENT,1/1/2019 16:15,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,BLACK,FEMALE,64,1,Non-fatal,,Incident Report
A-01035-19,4,1329 BEHRMAN AV,OPEN,21,MISCELLANEOUS INCIDENT,1/1/2019 16:15,NULL,NULL,NULL,NULL,NULL,NULL,INTERVIEW,BLACK,MALE,13,2,Non-fatal,,Incident Report
A-01042-19,8,400 BOURBON ST,OPEN,21P,LOST PROPERTY,1/1/2019 17:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Non-fatal,,Supplemental Report
A-01048-19,7,12340 S I-10 SERVICE RD #422,CLOSED,35D,SIMPLE BATTERY (DOMESTIC),1/1/2019 18:00,NULL,NULL,NULL,NULL,NULL,NULL,VICTIM,WHITE,FEMALE,41,1,Non-fatal,,Supplemental Report
A-01051-18,6,2100 CLIO ST,CLOSED,17F,FUGITIVE ATTACHMENT,1/1/2019 17:15,FUGITIVE ATTACHMENT,WARRANT ISSUED BY,BLACK,MALE,52,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-01051-19,6,2100 CLIO ST,CLOSED,17F,FUGITIVE ATTACHMENT,1/1/2019 17:15,FUGITIVE ATTACHMENT,WARRANT ISSUED BY,BLACK,MALE,52,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-01059-19,4,NEWTON ST & WHITNEY AV,CLOSED,35,SIMPLE BATTERY,1/1/2019 18:00,NULL,NULL,BLACK,FEMALE,55,1,INTERVIEW,BLACK,FEMALE,55,2,Non-fatal,,Incident Report
A-01059-19,4,NEWTON ST & WHITNEY AV,CLOSED,35,SIMPLE BATTERY,1/1/2019 18:00,14 35,SIMPLE BATTERY,BLACK,FEMALE,55,1,VICTIM,BLACK,FEMALE,51,1,Non-fatal,,Incident Report
A-01059-19,4,NEWTON ST & WHITNEY AV,CLOSED,35,SIMPLE BATTERY,1/1/2019 18:00,NULL,NULL,BLACK,FEMALE,55,1,INTERVIEW,BLACK,MALE,56,3,Non-fatal,,Incident Report
A-01068-19,2,7133 SAINT CHARLES AV,OPEN,67S,SHOPLIFTING,1/1/2019 18:10,NULL,NULL,BLACK,MALE,NULL,1,REPORTING PERSON,BLACK,FEMALE,38,2,Non-fatal,,Incident Report
A-01068-19,2,7133 SAINT CHARLES AV,OPEN,67S,SHOPLIFTING,1/1/2019 18:10,54 186,THEFT,BLACK,MALE,NULL,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-01107-19,2,1002 NAPOLEON AV,CLOSED,37,AGGRAVATED ASSAULT,1/1/2019 18:40,14 37,AGG. ASSAULT,BLACK,MALE,58,1,VICTIM,BLACK,MALE,58,1,Non-fatal,,Incident Report
A-01114-19,7,4810 ARTHUR DR,CLOSED,35D,SIMPLE BATTERY (DOMESTIC),1/1/2019 18:51,NULL,NULL,BLACK,FEMALE,23,1,INTERVIEW,BLACK,MALE,55,2,Non-fatal,,Incident Report
A-01114-19,7,4810 ARTHUR DR,CLOSED,35D,SIMPLE BATTERY (DOMESTIC),1/1/2019 18:51,NULL,NULL,BLACK,FEMALE,23,1,INTERVIEW,BLACK,FEMALE,46,3,Non-fatal,,Incident Report
A-01114-19,7,4810 ARTHUR DR,CLOSED,35D,SIMPLE BATTERY (DOMESTIC),1/1/2019 18:51,NULL,NULL,BLACK,FEMALE,23,1,INTERVIEW,BLACK,MALE,20,4,Non-fatal,,Incident Report
A-01114-19,7,4810 ARTHUR DR,CLOSED,35D,SIMPLE BATTERY (DOMESTIC),1/1/2019 18:51,NULL,NULL,BLACK,FEMALE,23,1,INTERVIEW,BLACK,FEMALE,42,5,Non-fatal,,Incident Report
A-01114-19,7,4810 ARTHUR DR,CLOSED,35D,SIMPLE BATTERY (DOMESTIC),1/1/2019 18:51,14 35.3,DOMESTIC ABUSE BATTERY,BLACK,FEMALE,23,1,VICTIM,BLACK,MALE,25,1,Non-fatal,,Incident Report
A-01115-20,1,2200 BARRACKS ST,OPEN,43,SIMPLE RAPE,12/30/2019 19:00,14 43,THIRD DEGREE RAPE,WHITE,MALE,NULL,1,VICTIM,WHITE,FEMALE,NULL,1,Non-fatal,,Incident Report
A-01120-19,2,8900 APPLE,CLOSED,966,DRUG LAW VIOLATION,1/1/2019 18:50,54 505,POSSESSION OF MARIJUANA (1ST OFFENSE),BLACK,MALE,36,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-01124-19,1,917 DUMAINE ST,OPEN,56,SIMPLE CRIMINAL DAMAGE,1/1/2019 8:30,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,UNKNOWN,NULL,NULL,1,VICTIM,BLACK,MALE,68,1,Non-fatal,,Incident Report
A-01129-19,1,N Broad ST & LAFITTE ST,OPEN,21,MISCELLANEOUS INCIDENT,1/1/2019 19:10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Non-fatal,,Incident Report
A-01134-19,8,BOURBON ST & CANAL ST,CLOSED,17F,FUGITIVE ATTACHMENT,1/1/2019 19:14,FUGITIVE ATTACHMENT,WARRANT ISSUED BY,BLACK,MALE,32,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-01148-19,8,1500 SUGAR BOWL DR,OPEN,67P,PICKPOCKET,1/1/2019 17:30,14 67,THEFT,NULL,NULL,NULL,1,VICTIM,WHITE,MALE,69,1,Non-fatal,,Incident Report
A-01149-19,2,S CARROLLTON AV & EARHART BD,OPEN,966,DRUG LAW VIOLATION,1/1/2019 19:15,40 966,PROHIBITED ACTS--SCHEDULE I DRUGS,BLACK,MALE,27,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-01149-19,2,S CARROLLTON AV & EARHART BD,OPEN,966,DRUG LAW VIOLATION,1/1/2019 19:15,40 966,PROHIBITED ACTS--SCHEDULE I DRUGS,BLACK,MALE,27,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-01149-19,2,S CARROLLTON AV & EARHART BD,OPEN,966,DRUG LAW VIOLATION,1/1/2019 19:15,40 966,PROHIBITED ACTS--SCHEDULE I DRUGS,BLACK,MALE,27,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-01149-19,2,S CARROLLTON AV & EARHART BD,OPEN,966,DRUG LAW VIOLATION,1/1/2019 19:15,40 966,PROHIBITED ACTS--SCHEDULE I DRUGS,BLACK,MALE,27,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-01162-19,8,911 burgundy ST,OPEN,21P,LOST PROPERTY,1/1/2019 18:15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Non-fatal,,Supplemental Report
A-01193-19,8,1 CANAL ST,OPEN,21,MISCELLANEOUS INCIDENT,1/1/2019 15:00,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,WHITE,MALE,54,1,Non-fatal,,Incident Report
A-01193-19,8,1 CANAL ST,OPEN,21,MISCELLANEOUS INCIDENT,1/1/2019 15:00,NULL,NULL,NULL,NULL,NULL,NULL,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-01208-19,5,2223 N TONTI ST,CLOSED,34S,AGGRAVATED BATTERY (SHOOTING),1/1/2019 20:21,14 34,AGG. BATTERY,BLACK,MALE,21,1,VICTIM,BLACK,MALE,23,1,Non-fatal,,Incident Report
A-01217-19,7,6630 COVEVIEW DR,OPEN,103D,DISTURBANCE (DOMESTIC),1/1/2019 20:24,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,HISPANIC,FEMALE,72,1,Non-fatal,,Incident Report
A-01217-19,7,6630 COVEVIEW DR,OPEN,103D,DISTURBANCE (DOMESTIC),1/1/2019 20:24,NULL,NULL,NULL,NULL,NULL,NULL,INTERVIEW,HISPANIC,MALE,66,2,Non-fatal,,Incident Report
A-01221-19,2,2718 HOLLYGROVE ST #B,OPEN,103M,DISTURBANCE (MENTAL),1/1/2019 20:25,NULL,NULL,NULL,NULL,NULL,NULL,INTERVIEW,BLACK,FEMALE,17,1,Non-fatal,,Incident Report
A-01221-19,2,2718 HOLLYGROVE ST #B,OPEN,103M,DISTURBANCE (MENTAL),1/1/2019 20:25,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,BLACK,FEMALE,34,1,Non-fatal,,Incident Report
A-01223-19,5,1300 FRANCE ST,OPEN,67A,AUTO THEFT,1/1/2019 20:35,14 67.26,THEFT OF A MOTOR VEHICLE,BLACK,MALE,NULL,1,VICTIM,WHITE,MALE,28,1,Non-fatal,,Incident Report
A-01223-19,5,1300 FRANCE ST,OPEN,67A,AUTO THEFT,1/1/2019 20:35,14 35,SIMPLE BATTERY,BLACK,MALE,NULL,1,VICTIM,WHITE,MALE,28,1,Non-fatal,,Incident Report
A-01228-19,8,BOURBON ST & CANAL ST,OPEN,21,MISCELLANEOUS INCIDENT,1/1/2019 18:00,NULL,NULL,NULL,NULL,NULL,NULL,INTERVIEW,WHITE,FEMALE,21,2,Non-fatal,,Incident Report
A-01228-19,8,BOURBON ST & CANAL ST,OPEN,21,MISCELLANEOUS INCIDENT,1/1/2019 18:00,NULL,NULL,NULL,NULL,NULL,NULL,INTERVIEW,BLACK,MALE,32,4,Non-fatal,,Incident Report
A-01228-19,8,BOURBON ST & CANAL ST,OPEN,21,MISCELLANEOUS INCIDENT,1/1/2019 18:00,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,WHITE,MALE,27,1,Non-fatal,,Incident Report
A-01228-19,8,BOURBON ST & CANAL ST,OPEN,21,MISCELLANEOUS INCIDENT,1/1/2019 18:00,NULL,NULL,NULL,NULL,NULL,NULL,INTERVIEW,WHITE,FEMALE,32,1,Non-fatal,,Incident Report
A-01228-19,8,BOURBON ST & CANAL ST,OPEN,21,MISCELLANEOUS INCIDENT,1/1/2019 18:00,NULL,NULL,NULL,NULL,NULL,NULL,INTERVIEW,WHITE,MALE,21,3,Non-fatal,,Incident Report
A-01230-19,3,3607  HAVANA ST,CLOSED,21M,MISSING ADULT,1/1/2019 21:00,NULL,NULL,NULL,NULL,NULL,NULL,VICTIM,WHITE,MALE,54,1,Non-fatal,,Supplemental Report
A-01237-19,1,4000 DUMAINE ST #F,OPEN,103D,DISTURBANCE (DOMESTIC),1/1/2019 20:40,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,WHITE,FEMALE,30,1,Non-fatal,,Incident Report
A-01237-19,1,4000 DUMAINE ST #F,OPEN,103D,DISTURBANCE (DOMESTIC),1/1/2019 20:40,NULL,NULL,NULL,NULL,NULL,NULL,INTERVIEW,WHITE,MALE,40,2,Non-fatal,,Incident Report
A-01249-19,5,1973 LAW ST,OPEN,35D,SIMPLE BATTERY (DOMESTIC),1/1/2019 20:45,14 35.3,DOMESTIC ABUSE BATTERY,BLACK,MALE,42,1,VICTIM,BLACK,FEMALE,33,1,Non-fatal,,Incident Report
A-01254-18,4,WAGNER ST & GENERAL DE GAULLE DR,CLOSED,17F,FUGITIVE ATTACHMENT,1/1/2019 20:32,FUGITIVE ATTACHMENT,WARRANT ISSUED BY,BLACK,MALE,26,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-01254-19,4,WAGNER ST & GENERAL DE GAULLE DR,CLOSED,17F,FUGITIVE ATTACHMENT,1/1/2019 20:32,FUGITIVE ATTACHMENT,WARRANT ISSUED BY,BLACK,MALE,26,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-01260-19,8,100 ROYAL ST,OPEN,21,MISCELLANEOUS INCIDENT,1/1/2019 20:55,NULL,NULL,NULL,NULL,NULL,NULL,VICTIM,BLACK,MALE,24,1,Non-fatal,,Incident Report
A-01263-19,7,7943 CHEF MENTEUR HW,OPEN,64G,ARMED ROBBERY (GUN),1/1/2019 18:40,14 64,ARMED ROBBERY,NULL,NULL,NULL,1,VICTIM,BLACK,MALE,43,1,Non-fatal,,Incident Report
A-01263-19,7,7943 CHEF MENTEUR HW,OPEN,64G,ARMED ROBBERY (GUN),1/1/2019 18:40,14 64.3,USE OF FIREARM IN ROBBERY,NULL,NULL,NULL,1,VICTIM,BLACK,MALE,43,1,Non-fatal,,Incident Report
A-01274-19,2,8223 JEANNETTE,CLOSED,34C,AGGRAVATED BATTERY (CUTTING),1/1/2019 21:10,14 34,AGG. BATTERY,WHITE,FEMALE,21,1,VICTIM,WHITE,FEMALE,40,1,Non-fatal,,Supplemental Report
A-01274-19,2,8223 JEANNETTE,CLOSED,34C,AGGRAVATED BATTERY (CUTTING),1/1/2019 21:10,NULL,NULL,WHITE,FEMALE,21,1,WITNESS,WHITE,MALE,40,2,Non-fatal,,Supplemental Report
A-01274-19,2,8223 JEANNETTE,CLOSED,34C,AGGRAVATED BATTERY (CUTTING),1/1/2019 21:10,NULL,NULL,WHITE,FEMALE,21,1,WITNESS,WHITE,MALE,57,3,Non-fatal,,Supplemental Report
A-01278-19,7,5449 GRAND BAYOU DR,OPEN,107,SUSPICIOUS PERSON,1/1/2019 21:15,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,HISPANIC,FEMALE,19,1,Non-fatal,,Incident Report
A-01286-19,2,DUBLIN ST & PALM ST,CLOSED,966,DRUG LAW VIOLATION,1/1/2019 21:19,54 505,POSSESSION OF MARIJUANA (1ST OFFENSE),BLACK,MALE,25,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-01294-19,4,2900 LAWRENCE ST,CLOSED,966,DRUG LAW VIOLATION,1/1/2019 21:15,54 505,POSSESSION OF MARIJUANA (1ST OFFENSE),BLACK,FEMALE,29,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-01300-19,7,4810 ARTHUR DR,CLOSED,17F,FUGITIVE ATTACHMENT,1/1/2019 20:18,FUGITIVE ATTACHMENT,WARRANT ISSUED BY,BLACK,FEMALE,23,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-01307-19,2,1929 BROADWAY ST #B,OPEN,35,SIMPLE BATTERY,1/1/2019 21:30,NULL,NULL,WHITE,FEMALE,32,1,WITNESS,WHITE,MALE,36,1,Non-fatal,,Incident Report
A-01307-19,2,1929 BROADWAY ST #B,OPEN,35,SIMPLE BATTERY,1/1/2019 21:30,54 96,BATTERY,WHITE,FEMALE,32,1,VICTIM,WHITE,FEMALE,32,1,Non-fatal,,Incident Report
A-01321-19,4,HERMOSA ST & MARDI GRAS BD,CLOSED,966,DRUG LAW VIOLATION,1/1/2019 21:35,54 505,SIMPLE POSSESSION OF MARIJUANA AND/OR SYNTHETIC CANNABINOIDS,BLACK,MALE,28,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-01321-19,4,HERMOSA ST & MARDI GRAS BD,CLOSED,966,DRUG LAW VIOLATION,1/1/2019 21:35,102 113,DRUG PARAPHERNALIA,BLACK,MALE,28,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-01323-19,6,2821 CARONDELET ST #H,OPEN,103D,DISTURBANCE (DOMESTIC),1/1/2019 21:55,NULL,NULL,NULL,NULL,NULL,NULL,INTERVIEW,WHITE,MALE,27,1,Non-fatal,,Incident Report
A-01323-19,6,2821 CARONDELET ST #H,OPEN,103D,DISTURBANCE (DOMESTIC),1/1/2019 21:55,NULL,NULL,NULL,NULL,NULL,NULL,INTERVIEW,WHITE,FEMALE,26,2,Non-fatal,,Incident Report
A-01354-18,8,800 CANAL ST,CLOSED,67S,SHOPLIFTING,1/1/2019 10:58,NULL,NULL,BLACK,MALE,40,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-01354-18,8,800 CANAL ST,CLOSED,67S,SHOPLIFTING,1/1/2019 10:58,NULL,NULL,BLACK,MALE,40,1,REPORTING PERSON,BLACK,FEMALE,28,1,Non-fatal,,Incident Report
A-01369-19,7,12345 N I-10 SERVICE RD #1901,OPEN,103D,DISTURBANCE (DOMESTIC),1/2/2019 0:40,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,BLACK,MALE,31,1,Non-fatal,,Incident Report
A-01376-19,8,1501 DAVE DIXON DR,CLOSED,966,DRUG LAW VIOLATION,1/1/2019 22:00,NULL,NULL,BLACK,MALE,36,1,REPORTING PERSON,WHITE,MALE,NULL,2,Non-fatal,,Incident Report
A-01376-19,8,1501 DAVE DIXON DR,CLOSED,966,DRUG LAW VIOLATION,1/1/2019 22:00,40 966,PROHIBITED ACTS--SCHEDULE I DRUGS,BLACK,MALE,36,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-01377-19,8,300 BOURBON ST,CLOSED,65P,PROPERTY SNATCHING,1/1/2019 23:00,14 67,THEFT,BLACK,FEMALE,18,1,VICTIM,WHITE,FEMALE,17,1,Non-fatal,,Incident Report
A-01377-19,8,300 BOURBON ST,CLOSED,65P,PROPERTY SNATCHING,1/1/2019 23:00,NULL,NULL,BLACK,FEMALE,18,1,REPORTING PERSON,WHITE,FEMALE,43,1,Non-fatal,,Incident Report
A-01377-19,8,300 BOURBON ST,CLOSED,65P,PROPERTY SNATCHING,1/1/2019 23:00,40 967,PROHIBITED ACTS-- SCHEDULE II DRUGS,BLACK,FEMALE,18,1,VICTIM,NULL,NULL,NULL,2,Non-fatal,,Incident Report
A-01380-19,1,N CLAIBORNE AV & SAINT LOUIS ST,OPEN,62C,SIMPLE BURGLARY (VEHICLE),1/1/2019 19:45,14 62,SIMPLE BURGLARY,NULL,NULL,NULL,1,VICTIM,BLACK,MALE,44,1,Non-fatal,,Incident Report
A-01385-19,1,600 N PRIEUR ST,OPEN,67A,AUTO THEFT,1/1/2019 21:54,14 69,ILLEGAL POSSESSION OF STOLEN THINGS,NULL,NULL,NULL,1,VICTIM,ASIAN,FEMALE,30,1,Non-fatal,,Supplemental Report
A-01386-19,5,3000 DAUPHINE ST,OPEN,62C,SIMPLE BURGLARY (VEHICLE),1/1/2019 23:10,14 62,SIMPLE BURGLARY,BLACK,MALE,NULL,2,VICTIM,WHITE,MALE,42,1,Non-fatal,,Incident Report
A-01386-19,5,3000 DAUPHINE ST,OPEN,62C,SIMPLE BURGLARY (VEHICLE),1/1/2019 23:10,14 62,SIMPLE BURGLARY,BLACK,MALE,NULL,3,VICTIM,WHITE,MALE,42,1,Non-fatal,,Incident Report
A-01386-19,5,3000 DAUPHINE ST,OPEN,62C,SIMPLE BURGLARY (VEHICLE),1/1/2019 23:10,14 62,SIMPLE BURGLARY,BLACK,MALE,NULL,4,VICTIM,WHITE,MALE,42,1,Non-fatal,,Incident Report
A-01386-19,5,3000 DAUPHINE ST,OPEN,62C,SIMPLE BURGLARY (VEHICLE),1/1/2019 23:10,14 62,SIMPLE BURGLARY,BLACK,MALE,NULL,1,VICTIM,WHITE,MALE,42,1,Non-fatal,,Incident Report
A-01389-19,7,11288 WAVERLY DR,OPEN,107,SUSPICIOUS PERSON,1/1/2019 23:14,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,BLACK,MALE,63,1,Non-fatal,,Incident Report
A-01404-19,5,3000 BURGUNDY ST,OPEN,62C,SIMPLE BURGLARY (VEHICLE),1/1/2019 23:00,14 62,SIMPLE BURGLARY,NULL,NULL,NULL,1,VICTIM,WHITE,MALE,28,1,Non-fatal,,Incident Report
A-01407-19,8,8 CANAL ST,OPEN,21P,LOST PROPERTY,1/1/2019 3:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Non-fatal,,Supplemental Report
A-01410-18,6,1411 S PRIEUR ST,OPEN,103D,DISTURBANCE (DOMESTIC),1/1/2019 23:45,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,BLACK,FEMALE,35,1,Non-fatal,,Incident Report
